exp_id,gps_eps_m,gps_min_samples,embed_name,sim_th,knn_k,geo_max_features,geo_ratio,geo_ransac_thresh,geo_min_matches,geo_score_th,n_photos,n_gps_clusters,n_scene_clusters,time_gps_dbscan,time_embedding_geo,silhouette,davies_bouldin,ARI,NMI
exp_000_APGeM_eps10.0_geo0.25,10.0,3,APGeM,0.78,10,1500,0.75,5.0,15,0.25,23,2,20,0.002401416888460517,2.5258169998414814,nan,nan,-0.021809369951534735,0.7277401831448244
exp_001_APGeM_eps10.0_geo0.2,10.0,3,APGeM,0.78,10,1500,0.5,6.0,20,0.2,23,2,20,0.0005977079272270203,1.9764709579758346,nan,nan,-0.021809369951534735,0.7277401831448244
exp_002_APGeM_eps10.0_geo0.2,10.0,3,APGeM,0.78,10,1500,0.6,5.0,10,0.2,23,2,20,0.0005367922130972147,1.9748127909842879,nan,nan,-0.021809369951534735,0.7277401831448244
exp_003_APGeM_eps10.0_geo0.2,10.0,3,APGeM,0.78,10,1500,0.6,5.0,10,0.2,23,2,20,0.0005520419217646122,1.9909206659067422,nan,nan,-0.021809369951534735,0.7277401831448244
exp_004_APGeM_eps10.0_geo0.3,10.0,3,APGeM,0.78,10,1000,0.6,7.0,8,0.3,23,2,20,0.0005204160697758198,1.9857681249268353,nan,nan,-0.021809369951534735,0.7277401831448244
exp_005_CLIP_eps10.0_geo0.25,10.0,3,CLIP,0.73,10,1500,0.75,5.0,15,0.25,23,2,20,0.0005643749609589577,3.9152161250822246,nan,nan,-0.021809369951534735,0.7277401831448244
exp_006_CLIP_eps10.0_geo0.2,10.0,3,CLIP,0.73,10,1500,0.5,6.0,20,0.2,23,2,20,0.0006137089803814888,3.1574139590375125,nan,nan,-0.021809369951534735,0.7277401831448244
exp_007_CLIP_eps10.0_geo0.2,10.0,3,CLIP,0.73,10,1500,0.6,5.0,10,0.2,23,2,20,0.0005015830975025892,3.2743445420637727,nan,nan,-0.021809369951534735,0.7277401831448244
exp_008_CLIP_eps10.0_geo0.2,10.0,3,CLIP,0.73,10,1500,0.6,5.0,10,0.2,23,2,20,0.0005044168792665005,3.296904917107895,nan,nan,-0.021809369951534735,0.7277401831448244
exp_009_CLIP_eps10.0_geo0.3,10.0,3,CLIP,0.73,10,1000,0.6,7.0,8,0.3,23,2,20,0.0009681670926511288,3.5050411669071764,nan,nan,-0.021809369951534735,0.7277401831448244
exp_010_APGeM+CLIP_eps10.0_geo0.25,10.0,3,APGeM+CLIP,0.73,10,1500,0.75,5.0,15,0.25,23,2,20,0.0005439999513328075,5.990397333167493,nan,nan,-0.021809369951534735,0.7277401831448244
exp_011_APGeM+CLIP_eps10.0_geo0.2,10.0,3,APGeM+CLIP,0.73,10,1500,0.5,6.0,20,0.2,23,2,20,0.0007888339459896088,5.227595875039697,nan,nan,-0.021809369951534735,0.7277401831448244
exp_012_APGeM+CLIP_eps10.0_geo0.2,10.0,3,APGeM+CLIP,0.73,10,1500,0.6,5.0,10,0.2,23,2,20,0.000530624995008111,5.341243082890287,nan,nan,-0.021809369951534735,0.7277401831448244
exp_013_APGeM+CLIP_eps10.0_geo0.2,10.0,3,APGeM+CLIP,0.73,10,1500,0.6,5.0,10,0.2,23,2,20,0.000571209006011486,5.509602166945115,nan,nan,-0.021809369951534735,0.7277401831448244
exp_014_APGeM+CLIP_eps10.0_geo0.3,10.0,3,APGeM+CLIP,0.73,10,1000,0.6,7.0,8,0.3,23,2,20,0.0005437908694148064,5.325312333879992,nan,nan,-0.021809369951534735,0.7277401831448244
