photo_path_i,photo_path_j,gps_cluster_index,base_sim,eff_sim,passed_sim,geo_score,passed_geo
0-label-2.jpeg,0-label-3.jpeg,0,0.892353,0.681917,0,,
0-label-2.jpeg,0-label-0.jpeg,0,0.845246,0.645919,0,,
0-label-2.jpeg,6-label-1.jpeg,0,0.832927,0.636505,0,,
0-label-2.jpeg,5-label-0.jpeg,0,0.830508,0.634656,0,,
0-label-2.jpeg,2-label-0.jpeg,0,0.811788,0.620351,0,,
0-label-2.jpeg,6-label-0.jpeg,0,0.809126,0.618316,0,,
0-label-2.jpeg,2-label-1.jpeg,0,0.801234,0.612286,0,,
0-label-2.jpeg,6-label-2.jpeg,0,0.797040,0.609081,0,,
0-label-2.jpeg,5-label-2.jpeg,0,0.732672,0.559893,0,,
2-label-1.jpeg,6-label-2.jpeg,0,0.861913,0.666916,0,,
2-label-1.jpeg,5-label-2.jpeg,0,0.858868,0.662532,0,,
2-label-1.jpeg,2-label-0.jpeg,0,0.853340,0.665131,0,,
2-label-1.jpeg,5-label-3.jpeg,0,0.838024,0.647653,0,,
2-label-1.jpeg,5-label-0.jpeg,0,0.830165,0.644990,0,,
2-label-1.jpeg,0-label-3.jpeg,0,0.829114,0.646247,0,,
2-label-1.jpeg,0-label-1.jpeg,0,0.825932,0.629987,0,,
2-label-1.jpeg,6-label-0.jpeg,0,0.812380,0.631894,0,,
2-label-1.jpeg,0-label-2.jpeg,0,0.801234,0.612286,0,,
6-label-2.jpeg,2-label-1.jpeg,0,0.861913,0.666916,0,,
6-label-2.jpeg,5-label-2.jpeg,0,0.836438,0.645230,0,,
6-label-2.jpeg,6-label-0.jpeg,0,0.833880,0.645225,0,,
6-label-2.jpeg,5-label-3.jpeg,0,0.825142,0.637698,0,,
6-label-2.jpeg,0-label-3.jpeg,0,0.816471,0.631755,0,,
6-label-2.jpeg,5-label-0.jpeg,0,0.815750,0.631197,0,,
6-label-2.jpeg,2-label-0.jpeg,0,0.805536,0.623294,0,,
6-label-2.jpeg,0-label-2.jpeg,0,0.797040,0.609081,0,,
6-label-2.jpeg,0-label-1.jpeg,0,0.791071,0.603397,0,,
2-label-0.jpeg,0-label-3.jpeg,0,0.898968,0.701253,1,0.473684,1
2-label-0.jpeg,2-label-1.jpeg,0,0.853340,0.665131,0,,
2-label-0.jpeg,5-label-0.jpeg,0,0.852598,0.662419,0,,
2-label-0.jpeg,6-label-1.jpeg,0,0.821757,0.638193,0,,
2-label-0.jpeg,0-label-2.jpeg,0,0.811788,0.620351,0,,
2-label-0.jpeg,6-label-2.jpeg,0,0.805536,0.623294,0,,
2-label-0.jpeg,0-label-0.jpeg,0,0.795298,0.622306,0,,
2-label-0.jpeg,6-label-0.jpeg,0,0.781079,0.607548,0,,
2-label-0.jpeg,5-label-2.jpeg,0,0.758133,0.584825,0,,
5-label-0.jpeg,0-label-0.jpeg,0,0.874063,0.679096,0,,
5-label-0.jpeg,6-label-1.jpeg,0,0.867793,0.673945,0,,
5-label-0.jpeg,0-label-3.jpeg,0,0.865095,0.672129,0,,
5-label-0.jpeg,6-label-0.jpeg,0,0.861973,0.669703,0,,
5-label-0.jpeg,2-label-0.jpeg,0,0.852598,0.662419,0,,
5-label-0.jpeg,0-label-2.jpeg,0,0.830508,0.634656,0,,
